Timestamp,X,Y,Z
341959,0.61,-0.06,0.12
342062,0.79,-0.12,0.12
342164,-0.31,0.06,0.00
342267,0.49,-0.06,0.12
342369,0.61,-0.06,0.12
342472,0.73,-0.12,0.12
342574,0.55,0.00,0.12
342677,0.61,-0.06,0.12
342779,0.79,-0.06,0.24
342882,0.61,-0.06,0.12
342984,0.61,0.00,0.12
343086,0.43,-0.06,0.12
343189,0.31,0.06,0.06
343291,0.31,0.06,0.06
343393,0.61,-0.06,0.18
343496,0.31,0.00,0.06
343598,0.49,-0.06,0.06
343701,0.49,0.06,0.12
343803,0.43,0.06,0.12
343905,0.55,0.00,0.12
344008,0.55,0.00,0.12
344110,0.55,0.00,0.12
344212,0.61,0.00,0.12
344315,3.60,-2.14,0.43
344417,0.85,0.12,0.37
344520,3.78,-0.85,0.24
344622,-4.94,2.26,11.29
344725,2.69,-3.91,-3.17
344827,-0.12,1.59,2.50
344929,1.10,5.25,0.73
345032,-0.31,0.31,2.75
345134,0.31,0.12,0.18
345236,0.31,0.06,0.12
345339,0.73,-0.06,0.12
345441,0.55,-0.24,0.18
345543,0.24,-0.06,0.18
345646,0.37,0.06,0.18
345748,0.55,0.00,0.06
345850,0.73,-0.12,0.12
345953,0.55,-0.06,0.18
346055,0.37,0.06,0.12
346157,0.55,0.00,0.18
346260,0.67,-0.06,0.12
346362,0.61,0.00,0.12
346464,0.49,0.00,0.18
346566,0.55,-0.06,0.12
346669,0.55,-0.06,0.12
346771,0.49,-0.06,0.12
346874,0.55,0.00,0.12
346976,0.55,0.00,0.12
347078,0.55,-0.06,0.06
347181,0.55,-0.06,0.12
347283,0.49,0.00,0.18
347385,0.55,0.00,0.12
347487,0.55,0.00,0.12
347590,0.67,0.00,0.18
347692,0.55,0.00,0.12
347794,0.55,0.00,0.12
347896,0.61,0.00,0.12
347998,0.85,-0.12,0.18
348101,0.61,0.00,0.12
348203,0.55,0.00,0.12
348305,0.55,0.00,0.12
348407,0.55,0.00,0.12
348510,0.61,0.00,0.18
348612,0.55,0.00,0.12
348715,0.55,-0.06,0.06
348817,0.49,0.00,0.12
348919,0.49,0.00,0.18
349022,0.37,0.00,0.12
349124,0.67,-0.06,0.12
349226,0.55,0.00,0.12
349329,0.67,-0.06,0.18
349431,0.61,-0.06,0.12
349533,0.61,0.00,0.12
349636,0.55,0.00,0.12
349738,0.55,-0.06,0.18
349840,0.61,-0.06,0.12
349943,0.55,0.00,0.12
350045,0.55,0.00,0.12
350148,0.55,0.00,0.18
350250,0.55,0.00,0.12
350352,0.55,0.00,0.12
350454,0.61,-0.06,0.12
