Time,Temperature (°C),Humidity (%)
10:56:40,29.4,61.7
10:56:41,29.4,61.7
10:56:44,29.4,61.7
10:56:47,29.4,61.7
10:56:50,29.4,61.8
10:56:53,29.4,61.7
10:56:56,29.4,61.8
10:56:59,29.3,62.0
10:57:02,29.4,63.7
10:57:05,29.3,64.6
10:57:09,29.4,63.9
10:57:12,29.3,63.5
10:57:15,29.3,63.1
10:57:18,29.3,63.0
10:57:21,29.3,62.8
10:57:24,29.2,62.8
10:57:27,29.2,62.7
10:57:30,29.2,62.7
10:57:33,29.2,62.7
10:57:36,29.2,62.7
10:57:39,29.1,62.6
10:57:42,29.1,62.6
10:57:45,29.1,62.6
10:57:48,29.1,62.6
10:57:51,29.1,62.7
10:57:54,29.1,62.7
10:57:57,29.1,62.7
10:58:00,29.1,62.7
10:58:03,29.1,62.7
10:58:06,29.1,62.8
10:58:09,29.0,62.7
10:58:12,29.1,62.8
10:58:15,29.1,62.8
10:58:18,29.1,62.8
10:58:21,29.1,62.8
10:58:24,29.1,62.8
10:58:27,29.1,62.8
10:58:30,29.1,62.8
10:58:33,29.1,62.7
10:58:36,29.1,62.7
10:58:39,29.1,62.7
10:58:42,29.1,62.7
10:58:45,29.1,62.7
10:58:48,29.1,62.7
10:58:51,29.1,62.6
10:58:54,29.1,62.7
10:58:57,29.1,62.7
10:59:00,29.1,62.7
10:59:03,29.1,62.7
10:59:06,29.1,62.7
10:59:09,29.1,62.7
10:59:12,29.1,62.7
10:59:15,29.1,62.7
10:59:18,29.1,62.7
10:59:21,29.1,62.7
10:59:24,29.1,62.7
10:59:27,29.1,62.6
10:59:30,29.1,62.6
10:59:33,29.1,62.6
10:59:36,29.1,62.6
10:59:39,29.1,62.7
10:59:42,29.1,62.7
10:59:45,29.1,62.8
10:59:48,29.1,62.8
10:59:51,29.1,62.8
10:59:54,29.1,62.8
10:59:57,29.1,62.7
11:00:00,29.1,62.7
11:00:03,29.1,62.7
11:00:06,29.1,62.8
11:00:09,29.1,62.8
11:00:12,29.1,62.8
11:00:15,29.1,62.7
11:00:18,29.1,62.7
11:00:21,29.1,62.7
11:00:24,29.0,62.7
11:00:27,29.1,62.7
11:00:30,29.0,62.7
11:00:33,29.0,62.7
11:00:36,29.0,62.8
11:00:39,29.0,62.8
11:00:42,29.0,62.8
11:00:45,29.0,62.8
11:00:48,29.0,62.8
11:00:51,29.0,62.8
11:00:54,29.0,62.9
11:00:57,29.0,62.8
11:01:00,29.1,62.9
11:01:03,29.1,62.8
11:01:06,29.0,62.8
11:01:09,29.0,62.8
11:01:12,29.0,62.8
11:01:15,29.1,62.7
11:01:18,29.0,62.7
11:01:21,29.0,62.7
11:01:24,29.0,62.7
11:01:27,29.0,62.7
11:01:30,29.0,62.8
11:01:33,29.0,62.8
11:01:36,29.1,62.8
11:01:39,29.1,62.8
11:01:42,29.1,62.7
11:01:45,29.1,62.7
11:01:48,29.1,62.8
11:01:51,29.1,62.7
11:01:54,29.1,62.6
11:01:57,29.1,62.6
11:02:00,29.1,62.8
11:02:03,29.2,62.8
11:02:06,29.2,62.7
11:02:09,29.2,62.6
11:02:12,29.2,62.6
11:02:15,29.2,62.6
11:02:18,29.2,62.5
11:02:21,29.2,62.5
11:02:24,29.2,62.5
11:02:27,29.2,62.5
11:02:30,29.2,62.5
11:02:33,29.2,62.4
11:02:36,29.2,62.4
11:02:39,29.2,62.4
11:02:42,29.2,62.4
11:02:45,29.2,62.4
11:02:48,29.2,62.4
11:02:51,31.4,89.9
11:02:54,31.4,99.6
