Timestamp,x,y,z
1740959378,-7.94,-0.5,0.83
1740959378,-8.56,-3.6,-8.68
1740959378,-3.59,2.45,-4.72
1740959378,4.67,2.01,-34.47
1740959378,6.55,-8.03,9.53
1740959378,2.05,0.58,-9.42
1740959378,-4.38,1.75,-4.95
1740959378,-25.91,-3.76,13.96
1740959378,-4.88,-8.5,-1.64
1740959378,1.23,7.47,7.56
1740959379,0.32,-8.89,-2.21
1740959379,-0.99,-5.74,-4.14
1740959379,-4.37,9.22,-7.51
1740959379,3.65,-9.83,0.09
1740959379,-8.22,6.0,2.27
1740959379,-1.48,3.74,-3.83
1740959379,-1.13,-8.74,6.45
1740959379,5.55,-8.38,-6.2
1740959379,-0.72,4.71,-8.34
1740959379,9.11,7.36,-8.64
1740959380,37.53,-3.54,-41.32
1740959380,-0.04,2.81,3.76
1740959380,3.93,-0.35,7.47
1740959380,20.51,31.43,37.58
1740959380,-9.12,6.69,-7.69
1740959380,0.95,4.02,-5.39
1740959380,-1.17,6.12,-9.14
1740959380,3.43,-9.62,-5.59
1740959380,1.9,5.47,-6.54
1740959380,8.21,0.04,-9.01
1740959381,-4.88,-5.39,2.05
1740959381,-2.52,6.06,-7.0
1740959381,3.28,0.27,1.68
1740959381,-8.62,5.44,9.43
1740959381,-9.29,-8.59,5.96
1740959381,5.41,8.91,3.26
1740959381,-8.47,0.74,-8.77
1740959381,6.7,-9.16,-7.1
1740959381,0.56,-2.14,-0.92
1740959381,196.55,103.32,6.52
1740959382,-4.07,-7.21,-6.72
1740959382,-9.78,9.47,-6.38
1740959382,6.53,0.14,9.88
1740959382,137.5,45.47,143.36
1740959382,-4.07,7.94,-8.3
1740959382,7.98,7.87,-8.75
1740959382,9.08,-9.64,7.84
1740959382,-6.83,3.58,-3.44
1740959382,-7.81,-8.88,4.71
1740959382,-5.87,-1.86,2.14
1740959383,7.45,-6.33,5.68
1740959383,-6.02,-0.2,1.2
1740959383,-1.3,0.93,-0.74
1740959383,-7.99,-1.23,4.0
1740959383,-1.61,3.1,9.49
1740959383,-4.33,9.78,9.26
1740959383,7.76,-1.87,-45.59
1740959383,137.33,-46.71,96.96
1740959383,-6.39,-7.31,-6.65
1740959383,7.88,4.7,-2.89
1740959384,4.77,0.82,-0.49
1740959384,-0.51,4.01,6.45
1740959384,-8.1,-5.63,-6.74
1740959384,-4.13,-6.73,-4.39
1740959384,-6.46,1.57,7.97
1740959384,-0.16,-9.89,-8.53
1740959384,-7.37,-3.77,7.59
1740959384,3.86,2.93,-5.43
1740959384,-3.51,-4.47,9.23
1740959384,1.75,5.75,3.28
1740959385,4.2,-4.31,4.54
1740959385,-4.97,3.36,-7.78
1740959385,-9.69,1.43,3.86
1740959385,-7.06,-9.52,-7.64
1740959385,-1.97,3.03,1.87
1740959385,-4.41,-0.04,-6.43
1740959385,8.75,2.57,6.66
1740959385,6.43,0.32,-5.57
1740959385,-45.48,-1.52,45.49
1740959385,9.22,-6.67,8.17
1740959386,-3.69,-5.66,-9.81
1740959386,-6.32,-9.68,-1.25
1740959386,-10.59,-23.16,-35.1
1740959386,-4.92,-5.0,6.71
1740959386,-0.05,-4.13,-3.01
1740959386,5.99,-2.52,-6.51
1740959386,-1.71,0.12,0.69
1740959386,-4.47,-2.91,2.12
1740959386,81.34,69.55,-21.73
1740959386,7.8,5.88,-5.76
1740959387,40.02,-16.88,15.15
1740959387,8.1,-7.3,-6.58
1740959387,-3.29,0.4,1.54
1740959387,-4.61,4.09,-1.35
1740959387,3.6,-4.96,-0.61
1740959387,-9.35,-2.47,2.84
1740959387,-3.64,-2.87,-3.18
1740959387,-5.32,3.88,0.36
1740959387,3.06,6.07,9.87
1740959387,-2.4,-1.75,4.1
1740959388,4.94,8.04,-6.96
1740959388,9.3,-6.45,1.6
1740959388,9.72,-3.04,3.36
1740959388,9.54,-0.55,-1.1
1740959388,-1.85,-1.75,9.23
1740959388,-9.99,-8.1,-9.69
1740959388,4.01,2.02,2.3
1740959388,9.49,1.99,2.02
1740959388,4.5,-7.84,-7.88
1740959388,6.03,-3.35,-4.74
1740959389,-4.74,9.19,9.27
1740959389,-9.23,6.12,2.6
1740959389,3.36,-8.86,1.85
1740959389,0.7,4.85,-5.45
1740959389,-9.47,-9.74,-2.14
1740959389,5.26,6.32,-1.89
1740959389,0.43,-5.56,-5.8
1740959389,2.18,-5.84,9.14
1740959389,6.22,-6.56,8.58
1740959389,6.3,2.73,8.08
1740959390,-8.0,-5.83,1.07
1740959390,4.34,-2.86,-6.24
1740959390,-8.77,-9.1,-9.27
1740959390,-3.41,48.57,-41.21
1740959390,8.94,-0.65,-9.14
1740959390,4.54,8.25,1.67
1740959390,8.87,-1.85,-9.47
1740959390,4.52,9.54,-9.84
1740959390,-18.96,13.19,14.02
1740959390,-2.08,7.41,-2.87
1740959391,1.33,-0.74,-7.85
1740959391,6.63,2.9,8.3
1740959391,-8.99,2.24,0.69
1740959391,-14.76,-27.63,-18.07
1740959391,43.32,-44.35,-16.82
1740959391,8.17,5.49,-8.05
1740959391,-5.5,-2.82,-3.58
1740959391,-5.09,-2.4,-4.53
1740959391,-3.18,41.52,-22.67
1740959391,-5.56,-30.6,26.95
1740959392,7.75,4.32,2.77
1740959392,-3.19,-0.7,-7.81
1740959392,-3.51,-1.31,-0.48
1740959392,4.77,9.75,-8.84
1740959392,-4.16,-2.97,-3.33
1740959392,-6.26,-6.56,4.16
1740959392,-10.75,47.53,-48.82
1740959392,8.77,-0.49,-2.64
1740959392,0.13,3.7,8.84
1740959392,5.16,-3.15,9.95
1740959393,1.53,-6.36,-3.75
1740959393,1.59,-4.0,-4.0
1740959393,-8.84,-0.33,5.26
1740959393,1.55,3.88,8.88
1740959393,-9.34,-7.8,-3.15
1740959393,-7.81,-8.01,-9.53
1740959393,-5.59,-1.21,-1.38
1740959393,-7.6,-2.36,-2.35
1740959393,9.35,7.56,3.21
1740959393,-8.21,-1.66,3.46
1740959394,-4.35,-1.29,-5.19
1740959394,-6.97,6.36,-2.86
1740959394,7.72,3.08,-9.06
1740959394,-5.36,2.59,-7.33
1740959394,2.12,0.71,2.4
1740959394,4.72,-4.1,-6.63
1740959394,-8.79,-1.19,6.35
1740959394,-3.03,-8.45,3.28
1740959394,6.18,-9.25,-8.17
1740959394,3.69,4.07,8.67
1740959395,5.05,-7.06,-7.83
1740959395,1.11,1.96,-8.87
1740959395,-6.39,-8.94,2.09
1740959395,-7.62,-3.24,-7.78
1740959395,1.95,7.39,3.45
1740959395,-7.19,3.37,-4.25
1740959395,-2.94,3.83,-8.06
1740959395,-5.46,3.11,-3.2
1740959395,-6.8,6.07,9.18
1740959395,23.5,-26.41,50.43
1740959396,-9.42,9.46,-6.61
1740959396,0.86,-3.35,5.33
1740959396,6.78,-8.04,-8.37
1740959396,33.94,28.73,-35.3
1740959396,-49.27,-94.77,-57.17
1740959396,-2.47,1.93,1.81
1740959396,-1.78,1.54,13.98
1740959396,-4.81,3.59,6.13
1740959396,-8.39,2.97,-0.55
1740959396,-22.95,23.46,-5.87
1740959397,2.21,0.06,7.73
1740959397,4.23,-6.22,-8.54
1740959397,5.82,-1.75,-8.31
1740959397,3.84,9.79,-5.41
1740959397,7.91,7.9,3.99
1740959397,-6.85,-3.56,3.13
1740959397,-24.05,38.59,15.32
1740959397,0.28,-0.0,-7.14
1740959397,-0.92,-3.1,-8.49
1740959397,2.37,-7.77,8.89
1740959398,7.6,6.87,-2.7
1740959398,-15.32,-13.66,-14.5
1740959398,6.84,6.39,8.1
1740959398,7.77,1.37,-5.83
1740959398,-0.37,2.94,-4.45
1740959398,-1.07,-10.0,-5.87
1740959398,8.16,7.9,5.57
1740959398,5.22,-9.97,-3.84
1740959398,2.73,-7.3,-4.75
1740959398,-0.32,4.6,6.46
1740959399,-11.85,22.13,10.33
1740959399,-4.08,-4.0,8.09
1740959399,-8.58,5.37,-0.8
1740959399,-1.49,7.24,6.38
1740959399,6.11,8.7,-1.07
1740959399,-5.04,8.96,-4.26
1740959399,3.16,8.39,-2.59
1740959399,4.5,9.9,2.75
1740959399,7.95,0.44,-7.83
1740959399,-5.24,2.84,0.68
1740959400,5.32,7.69,9.9
1740959400,-0.95,1.36,7.66
1740959400,8.43,-6.17,6.36
1740959400,-5.08,-7.0,4.29
1740959400,-3.78,-7.26,5.7
1740959400,8.52,-4.08,-1.82
1740959400,-5.57,-4.57,6.46
1740959400,0.51,-6.57,7.96
1740959400,4.72,-1.66,-3.43
1740959400,-2.5,-3.88,7.27
1740959401,-9.33,9.09,8.51
1740959401,-8.02,-5.08,7.52
1740959401,-169.16,97.76,23.08
1740959401,6.85,-8.51,-7.9
1740959401,-6.73,0.53,-8.09
1740959401,-7.12,8.9,2.33
1740959401,9.55,3.67,-8.03
1740959401,2.88,6.82,8.99
1740959401,-5.8,-5.52,-9.06
1740959401,-5.15,1.03,-5.38
1740959402,-8.63,1.39,8.24
1740959402,-7.37,4.52,-8.73
1740959402,9.28,1.89,6.79
1740959402,9.42,-9.5,4.37
1740959402,-1.77,-4.3,1.92
1740959402,48.82,-3.82,11.37
1740959402,1.88,-1.39,7.68
1740959402,-6.3,-45.55,-10.22
1740959402,4.61,1.4,2.32
1740959402,-4.78,9.16,-8.48
1740959403,-7.51,-0.08,0.75
1740959403,9.52,6.86,5.32
1740959403,-6.72,0.14,1.7
1740959403,5.85,3.38,-3.82
1740959403,1.88,-1.55,4.4
1740959403,-5.32,-2.23,-8.21
1740959403,-3.39,6.69,0.71
1740959403,5.84,5.91,-9.86
1740959403,-4.3,9.22,4.22
1740959403,-5.4,-0.96,-4.46
1740959404,-0.02,5.39,-6.09
1740959404,-9.45,4.76,3.5
1740959404,29.78,-9.43,-14.02
1740959404,1.41,-1.06,2.24
1740959404,-9.59,-3.09,4.94
1740959404,7.02,-5.51,2.58
1740959404,2.87,-3.53,-9.93
1740959404,-7.81,-6.48,3.2
1740959404,0.06,8.3,2.79
1740959404,6.99,-7.6,-0.58
1740959405,-3.89,-5.18,9.55
1740959405,-1.49,-7.44,0.84
1740959405,-7.01,-3.2,8.89
1740959405,-3.78,-8.06,0.95
1740959405,-2.83,-1.46,9.59
1740959405,2.14,4.38,-6.12
1740959405,3.61,-6.68,9.04
1740959405,-9.42,-4.47,2.09
1740959405,-3.49,3.68,5.32
1740959405,1.56,2.67,-8.59
1740959406,2.31,-3.31,4.93
1740959406,3.04,-168.61,-109.82
1740959406,-6.34,-3.09,5.59
1740959406,2.0,8.25,-9.05
1740959406,-7.72,6.74,9.89
1740959406,-5.37,-8.7,5.27
1740959406,-0.36,5.03,5.71
1740959406,-0.98,37.36,22.76
1740959406,-3.24,6.96,5.37
1740959406,1.91,8.9,-0.3
1740959407,5.22,-6.79,-5.77
1740959407,-9.9,-2.79,-6.62
1740959407,-6.1,5.36,-9.34
1740959407,4.46,2.4,-3.8
1740959407,-46.94,-25.35,28.12
1740959407,-2.51,2.68,-5.19
1740959407,-0.5,3.9,7.64
1740959407,-0.28,4.62,2.05
1740959407,-0.06,-4.87,6.0
1740959407,-16.54,37.17,41.87
1740959408,1.66,-0.83,0.78
1740959408,-13.07,-27.66,21.03
1740959408,3.68,-7.28,8.64
1740959408,-3.69,-8.33,-7.75
1740959408,7.65,-2.45,-1.15
1740959408,0.56,2.21,1.97
1740959408,7.64,-1.4,-0.28
1740959408,4.09,0.12,2.22
1740959408,-9.62,4.39,0.16
1740959408,9.16,5.72,-1.65
1740959409,-9.66,9.64,7.69
1740959409,5.38,-4.75,-2.49
1740959409,-1.65,-3.52,-9.69
1740959409,1.85,-5.12,6.44
1740959409,-0.85,0.65,-2.97
1740959409,2.71,-3.07,-0.0
1740959409,17.61,6.32,5.91
1740959409,-2.57,3.01,3.41
1740959409,-5.18,-4.05,-7.97
1740959409,2.96,-0.5,-2.74
1740959410,9.04,-3.13,2.73
1740959410,1.47,-6.03,9.21
1740959410,-4.04,-0.02,-0.82
1740959410,6.35,6.28,2.05
1740959410,3.01,9.36,-4.3
1740959410,-2.69,-6.86,0.26
1740959410,0.64,7.79,1.26
1740959410,-9.35,2.36,3.45
1740959410,6.62,9.51,-6.73
1740959410,2.08,0.26,3.58
1740959411,23.53,-16.39,13.37
1740959411,-8.3,-6.8,3.71
1740959411,1.96,-6.83,-0.18
1740959411,0.75,7.91,6.41
1740959411,-5.15,9.15,5.57
1740959411,3.17,9.8,-7.63
1740959411,-2.09,-8.91,9.67
1740959411,7.71,-5.34,-9.88
1740959411,-0.89,7.23,6.23
1740959411,-7.91,-4.8,-7.16
1740959412,-6.68,-5.45,-0.95
1740959412,3.8,9.93,-2.11
1740959412,-0.8,0.05,-6.73
1740959412,-4.75,-8.25,-32.35
1740959412,-6.84,-7.74,5.32
1740959412,0.06,-7.39,-2.71
1740959412,-12.85,21.78,45.87
1740959412,3.57,-4.48,-6.37
1740959412,-5.94,-9.68,1.12
1740959412,4.57,5.45,-6.76
1740959413,-24.97,29.62,43.33
1740959413,-8.14,47.02,-10.22
1740959413,-30.88,-22.06,-39.6
1740959413,9.18,-9.57,-9.47
1740959413,1.23,0.05,3.65
1740959413,-6.89,7.18,-3.04
1740959413,-28.43,12.2,-13.08
1740959413,-7.82,9.02,8.64
1740959413,-7.11,-4.25,-5.56
1740959413,8.58,-5.96,-7.67
1740959414,2.5,5.18,5.21
1740959414,-3.67,8.5,-4.87
1740959414,5.05,4.8,-4.19
1740959414,4.17,-4.45,-8.24
1740959414,2.19,-9.16,4.45
1740959414,-8.85,-0.43,6.56
1740959414,-1.37,6.65,-2.29
1740959414,7.06,8.31,1.05
1740959414,-4.01,1.8,-9.64
1740959414,7.49,-5.83,-9.41
1740959415,3.55,-9.59,-2.76
1740959415,-8.71,-9.71,-4.59
1740959415,-5.06,3.76,5.43
1740959415,0.14,-9.31,2.9
1740959415,3.34,-7.26,2.42
1740959415,2.33,-1.8,9.98
1740959415,9.49,-0.39,13.2
1740959415,-7.05,-0.9,-8.25
1740959415,-107.11,-9.0,95.11
1740959415,0.77,5.39,7.67
1740959416,4.43,-6.92,-5.29
1740959416,-6.59,-5.12,-1.22
1740959416,-1.48,0.84,8.45
1740959416,-4.27,-5.09,-5.25
1740959416,2.53,0.38,6.11
1740959416,-2.42,-3.09,-8.89
1740959416,2.13,-7.19,6.76
1740959416,8.46,1.59,-8.83
1740959416,-8.36,-2.11,4.25
1740959416,-103.75,85.36,133.92
1740959417,-2.91,-4.19,0.18
1740959417,9.08,-7.06,-6.94
1740959417,-1.14,5.62,8.97
1740959417,40.17,-3.02,-2.16
1740959417,26.5,27.82,-8.41
1740959417,7.84,0.33,5.2
1740959417,9.93,-5.05,5.02
1740959417,-9.4,4.92,-2.52
1740959417,-0.28,-8.46,6.32
1740959417,-7.34,-3.72,-2.38
1740959418,-4.65,0.07,-6.06
1740959418,9.32,8.83,-2.91
1740959418,-8.52,-3.81,4.67
1740959418,-6.94,9.17,9.12
1740959418,1.84,-0.59,-5.16
1740959418,-3.18,-8.83,2.63
1740959418,-6.63,2.97,-5.99
1740959418,9.28,-2.47,-4.33
1740959418,-8.26,-6.64,-0.55
1740959418,-4.96,-4.63,-1.01
1740959419,6.17,-4.29,3.81
1740959419,1.47,0.61,4.25
1740959419,7.26,-2.49,1.49
1740959419,-6.88,-9.06,-1.83
1740959419,-3.43,-7.25,2.45
1740959419,-2.86,4.62,-1.87
1740959419,-2.36,2.1,-9.03
1740959419,-9.26,7.81,2.21
1740959419,7.1,-3.5,-1.93
1740959419,8.3,0.92,-5.88
1740959420,-1.57,5.67,9.46
1740959420,6.89,-0.72,-0.12
1740959420,-8.76,0.32,-3.96
1740959420,-4.78,-3.98,8.07
1740959420,2.89,1.35,7.02
1740959420,-0.59,5.59,9.84
1740959420,6.71,-3.02,6.63
1740959420,2.54,0.56,9.29
1740959420,5.27,-8.78,-5.94
1740959420,-5.52,-5.87,2.01
1740959421,-5.72,2.2,8.24
1740959421,8.84,9.64,-6.31
1740959421,2.94,-3.14,-2.89
1740959421,-7.16,-0.24,4.85
1740959421,3.03,3.44,5.85
1740959421,-7.65,0.03,-7.24
1740959421,-1.16,6.25,-7.14
1740959421,7.91,1.39,-6.51
1740959421,4.12,6.71,-8.96
1740959421,8.51,-3.79,4.37
1740959422,-7.85,-2.7,2.1
1740959422,7.62,-1.32,4.49
1740959422,9.85,8.57,-2.18
1740959422,-7.37,38.1,-37.94
1740959422,-1.09,-5.79,3.14
1740959422,1.51,-3.09,7.19
1740959422,2.42,-4.34,8.82
1740959422,-2.07,19.64,-6.65
1740959422,-7.83,-0.4,-2.91
1740959422,-7.31,9.6,-1.72
1740959423,18.32,47.71,-8.53
1740959423,-6.09,2.49,-2.18
1740959423,-10.0,4.19,6.07
1740959423,-4.24,6.67,3.05
1740959423,-6.41,1.54,-0.24
1740959423,8.72,8.4,2.12
1740959423,2.67,7.6,0.66
1740959423,-9.32,7.72,-1.23
1740959423,-7.92,3.34,-0.53
1740959423,-13.53,-8.87,45.02
1740959424,114.73,167.4,-154.32
1740959424,6.04,7.27,9.04
1740959424,7.86,-7.44,-6.76
1740959424,3.99,-8.79,1.06
1740959424,-1.83,4.7,-9.11
1740959424,-186.36,48.63,85.64
1740959424,6.95,7.6,-3.99
1740959424,-0.9,-7.94,-3.61
1740959424,2.57,-1.61,0.41
1740959424,3.9,8.22,-2.12
1740959425,42.3,23.68,-15.02
1740959425,-2.98,7.64,2.58
1740959425,9.75,-9.0,-0.85
1740959425,8.15,9.45,0.51
1740959425,2.93,2.61,-0.8
1740959425,6.68,-7.88,-9.46
1740959425,-2.41,18.4,25.76
1740959425,4.08,-0.87,-9.1
1740959425,-7.7,6.82,-2.46
1740959425,2.84,-8.32,4.52
1740959426,3.13,-6.5,4.26
1740959426,-7.5,-9.22,2.2
1740959426,29.58,9.48,-40.7
1740959426,2.24,6.78,-5.6
1740959426,7.9,5.63,-3.4
1740959426,8.25,-7.89,5.92
1740959426,-2.65,-2.8,3.74
1740959426,-5.01,-4.83,-4.04
1740959426,42.64,0.73,-39.1
1740959426,-2.94,-5.63,5.67
1740959427,-4.54,-5.98,-7.33
1740959427,-3.83,-4.59,-7.48
1740959427,8.78,-8.55,-9.05
1740959427,-1.18,8.5,-6.86
1740959427,-7.34,-6.12,-1.55
1740959427,0.5,9.55,7.19
1740959427,-2.03,4.72,-4.21
1740959427,-5.33,0.14,5.81
1740959427,6.97,-4.85,-1.9
1740959427,9.95,3.74,0.22
1740959428,-3.76,-2.58,2.82
1740959428,-5.07,5.88,3.65
1740959428,3.83,-8.26,1.4
1740959428,9.17,-4.68,1.95
1740959428,47.45,-39.96,5.05
1740959428,0.37,2.97,-2.04
1740959428,-5.3,4.81,-2.24
1740959428,-48.74,35.55,-21.94
1740959428,0.38,-0.68,7.4
1740959428,-6.48,-6.55,-5.23
1740959429,4.66,-8.8,-2.29
1740959429,5.22,-3.86,-9.48
1740959429,-7.52,0.38,9.39
1740959429,-8.21,-7.47,5.07
1740959429,-48.52,34.3,-38.2
1740959429,-1.17,-1.0,-8.75
1740959429,8.52,9.28,3.55
1740959429,-4.92,1.99,-2.34
1740959429,-2.4,-9.5,3.17
1740959429,15.38,2.43,-17.0
1740959430,8.43,-3.84,-4.43
1740959430,178.86,50.07,119.18
1740959430,-6.21,-9.1,-7.18
1740959430,-9.31,-3.79,8.29
1740959430,-7.57,-1.75,8.28
1740959430,6.36,-1.25,9.18
1740959430,-9.25,0.36,8.86
1740959430,5.58,-6.73,3.2
1740959430,2.19,8.73,-1.22
1740959430,3.45,3.03,4.13
1740959431,76.86,-111.75,-133.69
1740959431,-2.7,-5.58,-2.67
1740959431,-6.12,-1.49,-6.69
1740959431,-6.53,4.6,-5.32
1740959431,5.86,-6.46,6.96
1740959431,-7.01,-8.24,8.22
1740959431,-133.6,-0.37,-36.87
1740959431,7.92,-0.08,3.27
1740959431,-4.84,-6.26,-7.08
1740959431,5.18,-1.68,9.39
1740959432,-3.43,-9.9,2.31
1740959432,-2.16,-5.55,-0.33
1740959432,0.07,6.9,-5.49
1740959432,7.72,-3.6,-0.49
1740959432,0.39,-9.03,-3.21
1740959432,2.28,-37.76,-49.28
1740959432,5.36,8.59,-5.01
1740959432,-7.34,-3.36,2.26
1740959432,1.79,9.77,9.75
1740959432,-4.53,8.45,-9.87
1740959433,6.84,-3.11,-6.18
1740959433,-5.37,-5.01,4.61
1740959433,-106.08,-168.55,138.74
1740959433,-38.05,33.34,49.45
1740959433,-1.74,9.58,-3.31
1740959433,-6.83,0.74,6.71
1740959433,5.64,2.75,0.98
1740959433,-7.02,2.31,5.66
1740959433,-1.23,3.04,-4.98
1740959433,-1.65,1.11,-1.72
1740959434,7.67,-7.49,5.68
1740959434,1.79,3.09,-5.28
1740959434,5.78,0.81,9.82
1740959434,-8.86,-0.07,-1.28
1740959434,0.81,-6.66,-5.81
1740959434,-6.58,-0.92,6.12
1740959434,8.76,-2.68,9.12
1740959434,7.45,9.77,5.3
1740959434,3.36,3.42,-2.84
1740959434,3.61,3.32,6.68
1740959435,-9.69,-9.05,0.14
1740959435,7.77,7.45,6.82
1740959435,-7.99,-6.61,-7.63
1740959435,-1.96,0.69,0.53
1740959435,-8.92,7.17,-3.31
1740959435,-6.1,-8.15,6.24
1740959435,-3.58,3.89,-4.21
1740959435,-3.45,1.28,7.2
1740959435,9.44,5.71,4.48
1740959435,-0.76,-7.66,-6.17
1740959436,7.72,-2.66,-9.58
1740959436,-12.89,-22.04,29.05
1740959436,0.66,3.53,-0.83
1740959436,45.65,-23.25,-27.2
1740959436,-9.27,-0.42,8.97
1740959436,-9.17,-4.45,-3.81
1740959436,8.81,-9.83,-8.21
1740959436,-2.76,-3.35,5.42
1740959436,-8.3,-7.42,-9.69
1740959436,-21.82,36.43,26.36
1740959437,-2.81,8.76,-7.73
1740959437,-1.92,8.35,-2.86
1740959437,-6.93,-8.18,-1.05
1740959437,9.24,-5.4,5.74
1740959437,7.87,8.6,1.71
1740959437,7.48,3.0,3.85
1740959437,3.86,-2.84,-5.13
1740959437,2.06,3.05,-7.54
1740959437,5.52,-9.87,6.51
1740959437,4.79,-5.0,-9.23
1740959438,116.34,-64.82,-162.04
1740959438,-7.61,-8.81,-0.79
1740959438,-3.53,-0.47,-8.57
1740959438,1.27,8.42,-9.73
1740959438,-0.13,6.36,-1.92
1740959438,-1.88,3.71,0.76
1740959438,3.27,6.76,9.21
1740959438,21.57,49.03,-8.32
1740959438,-3.82,-4.88,3.03
1740959438,-1.81,5.99,-1.17
1740959439,40.02,41.76,-8.54
1740959439,9.03,0.06,3.8
1740959439,-7.39,-8.36,-4.99
1740959439,-9.39,6.12,5.56
1740959439,-8.52,-9.1,-3.78
1740959439,-2.16,3.04,7.12
1740959439,-4.46,-4.03,2.97
1740959439,-6.1,-9.87,-8.46
1740959439,-7.36,6.95,3.08
1740959439,-4.63,-2.84,-2.2
1740959440,-19.99,-34.12,-15.96
1740959440,7.19,-2.14,-0.24
1740959440,8.19,6.9,-2.28
1740959440,-2.02,9.64,-7.56
1740959440,9.38,6.18,7.73
1740959440,-6.72,0.48,-5.58
1740959440,-9.87,-5.76,6.9
1740959440,-7.14,-46.77,-33.96
1740959440,7.51,-5.87,-5.67
1740959440,7.86,7.92,-8.06
1740959441,-6.43,-5.13,3.56
1740959441,1.52,-2.21,4.93
1740959441,5.56,-4.88,-5.72
1740959441,9.56,-9.21,-1.97
1740959441,2.29,-7.26,2.65
1740959441,-4.9,4.4,0.87
1740959441,-4.19,-8.14,4.64
1740959441,-9.52,-7.49,-9.52
1740959441,-1.53,-0.11,7.78
1740959441,-6.93,-8.78,-0.98
1740959442,-2.67,-1.72,-8.98
1740959442,-3.26,1.07,-8.39
1740959442,4.83,0.9,3.43
1740959442,1.39,0.56,-1.16
1740959442,15.12,-2.75,-47.69
1740959442,7.91,-1.71,-4.63
1740959442,-1.81,-2.41,-1.75
1740959442,9.86,4.65,8.1
1740959442,6.93,6.12,-8.25
1740959442,-3.14,-4.1,6.09
1740959443,-6.2,4.0,1.21
1740959443,-2.88,-0.03,9.82
1740959443,-40.69,5.2,-3.97
1740959443,7.89,-5.84,-1.25
1740959443,-5.6,-3.93,6.59
1740959443,4.6,3.8,-9.78
1740959443,-31.45,-0.79,-24.01
1740959443,2.84,-2.4,-9.94
1740959443,-25.39,21.71,-30.6
1740959443,-5.89,-7.1,-2.64
1740959444,2.84,-2.97,5.51
1740959444,-0.6,-0.61,8.93
1740959444,3.63,2.9,1.39
1740959444,-9.97,-0.68,-0.16
1740959444,-16.36,7.86,7.63
